Id,employee_id,employeeNo,name,gender,contactNo,email,empStatus,designation,departments,grade,increment,scale,basic,account_number,e_tin,chargeAllw,telephoneAllwance,AdditionalDesignation,dearnessAllw,houseAllw,medicalAllw,educationAllw,festivalAllw,researchAllw,newBdYrAllw,recreationAllw,otherAllw,gpf,gpfInstallment,houseDed,benevolentFund,insurance,electricity,hrdExtra,clubSubscription,assoSubscription,transportBill,telephoneBill,pensionFund,fishBill,incomeTax,donation,guestHouseRent,houseLoanInstallment_1,houseLoanInstallment_2,houseLoanInstallment_3,salaryAdjustment,revenue,otherDed,month,year
14,3,EMP00003,Employee 3,1,0198428740110,employee3@example.com,2,Professor,Electrical and Electronic Engineering,7,8,44253,75591,2000506019796,695614415,337,366,,1076,791,921,216,763,187,379,492,40,1180,14,300,64,344,70,8,87,128,135,62,138,80,391,162,418,288,378,1796,489,230,40,4,2025
15,3,EMP00003,Employee 3,1,0198428740110,employee3@example.com,2,Professor,Electrical and Electronic Engineering,7,8,44253,75591,2000506019796,695614415,337,366,,1076,791,921,216,763,187,379,492,40,1180,14,300,64,344,70,8,87,128,135,62,138,80,391,162,418,288,378,1796,489,230,40,5,2025
16,4,EMP00004,Employee 4,0,0198629561415,employee4@example.com,2,Professor,Civil Engineering,2,0,43599,55222,2000825167677,422909911,804,98,,683,1895,725,986,546,960,738,100,430,1485,642,256,4,217,141,102,26,136,206,14,41,76,863,230,240,563,1020,95,899,733,484,1,2025
17,4,EMP00004,Employee 4,0,0198629561415,employee4@example.com,2,Professor,Civil Engineering,2,0,43599,55222,2000825167677,422909911,804,98,,683,1895,725,986,546,960,738,100,430,1485,642,256,4,217,141,102,26,136,206,14,41,76,863,230,240,563,1020,95,899,733,484,2,2025
18,4,EMP00004,Employee 4,0,0198629561415,employee4@example.com,2,Professor,Civil Engineering,2,0,43599,55222,2000825167677,422909911,804,98,,683,1895,725,986,546,960,738,100,430,1485,642,256,4,217,141,102,26,136,206,14,41,76,863,230,240,563,1020,95,899,733,484,3,2025
19,4,EMP00004,Employee 4,0,0198629561415,employee4@example.com,2,Professor,Civil Engineering,2,0,43599,55222,2000825167677,422909911,804,98,,683,1895,725,986,546,960,738,100,430,1485,642,256,4,217,141,102,26,136,206,14,41,76,863,230,240,563,1020,95,899,733,484,4,2025
20,4,EMP00004,Employee 4,0,0198629561415,employee4@example.com,2,Professor,Civil Engineering,2,0,43599,55222,2000825167677,422909911,804,98,,683,1895,725,986,546,960,738,100,430,1485,642,256,4,217,141,102,26,136,206,14,41,76,863,230,240,563,1020,95,899,733,484,5,2025
21,5,EMP00005,Employee 5,0,0198271116174,employee5@example.com,1,Professor,Mechanical Engineering,4,6,29914,47890,2000792440149,660355099,2625,169,,556,1597,952,645,795,27,619,43,339,1981,330,127,347,472,189,128,120,26,120,115,232,2,709,455,410,648,317,1700,224,818,233,1,2025
22,5,EMP00005,Employee 5,0,0198271116174,employee5@example.com,1,Professor,Mechanical Engineering,4,6,29914,47890,2000792440149,660355099,2625,169,,556,1597,952,645,795,27,619,43,339,1981,330,127,347,472,189,128,120,26,120,115,232,2,709,455,410,648,317,1700,224,818,233,2,2025
23,5,EMP00005,Employee 5,0,0198271116174,employee5@example.com,1,Professor,Mechanical Engineering,4,6,29914,47890,2000792440149,660355099,2625,169,,556,1597,952,645,795,27,619,43,339,1981,330,127,347,472,189,128,120,26,120,115,232,2,709,455,410,648,317,1700,224,818,233,3,2025
24,5,EMP00005,Employee 5,0,0198271116174,employee5@example.com,1,Professor,Mechanical Engineering,4,6,29914,47890,2000792440149,660355099,2625,169,,556,1597,952,645,795,27,619,43,339,1981,330,127,347,472,189,128,120,26,120,115,232,2,709,455,410,648,317,1700,224,818,233,4,2025
25,5,EMP00005,Employee 5,0,0198271116174,employee5@example.com,1,Professor,Mechanical Engineering,4,6,29914,47890,2000792440149,660355099,2625,169,,556,1597,952,645,795,27,619,43,339,1981,330,127,347,472,189,128,120,26,120,115,232,2,709,455,410,648,317,1700,224,818,233,5,2025
26,6,EMP00006,Employee 6,0,0198414404213,employee6@example.com,2,Professor,Civil Engineering,8,8,72915,74384,2000378710077,116816569,4659,267,,1533,1636,624,951,80,698,112,1,129,2267,565,342,484,223,128,146,125,129,52,171,217,31,1733,415,246,835,1462,202,183,122,400,1,2025
27,6,EMP00006,Employee 6,0,0198414404213,employee6@example.com,2,Professor,Civil Engineering,8,8,72915,74384,2000378710077,116816569,4659,267,,1533,1636,624,951,80,698,112,1,129,2267,565,342,484,223,128,146,125,129,52,171,217,31,1733,415,246,835,1462,202,183,122,400,2,2025
28,6,EMP00006,Employee 6,0,0198414404213,employee6@example.com,2,Professor,Civil Engineering,8,8,72915,74384,2000378710077,116816569,4659,267,,1533,1636,624,951,80,698,112,1,129,2267,565,342,484,223,128,146,125,129,52,171,217,31,1733,415,246,835,1462,202,183,122,400,3,2025
29,6,EMP00006,Employee 6,0,0198414404213,employee6@example.com,2,Professor,Civil Engineering,8,8,72915,74384,2000378710077,116816569,4659,267,,1533,1636,624,951,80,698,112,1,129,2267,565,342,484,223,128,146,125,129,52,171,217,31,1733,415,246,835,1462,202,183,122,400,4,2025
30,6,EMP00006,Employee 6,0,0198414404213,employee6@example.com,2,Professor,Civil Engineering,8,8,72915,74384,2000378710077,116816569,4659,267,,1533,1636,624,951,80,698,112,1,129,2267,565,342,484,223,128,146,125,129,52,171,217,31,1733,415,246,835,1462,202,183,122,400,5,2025
31,7,EMP00007,Employee 7,1,0198668249203,employee7@example.com,2,Lecturer,Mechanical Engineering,6,5,54698,64542,2000487791599,307640719,608,200,,1147,186,325,463,348,770,659,251,442,1955,402,345,450,146,147,95,198,51,127,38,128,10,4061,297,98,262,1787,143,345,623,499,1,2025
32,7,EMP00007,Employee 7,1,0198668249203,employee7@example.com,2,Lecturer,Mechanical Engineering,6,5,54698,64542,2000487791599,307640719,608,200,,1147,186,325,463,348,770,659,251,442,1955,402,345,450,146,147,95,198,51,127,38,128,10,4061,297,98,262,1787,143,345,623,499,2,2025
33,7,EMP00007,Employee 7,1,0198668249203,employee7@example.com,2,Lecturer,Mechanical Engineering,6,5,54698,64542,2000487791599,307640719,608,200,,1147,186,325,463,348,770,659,251,442,1955,402,345,450,146,147,95,198,51,127,38,128,10,4061,297,98,262,1787,143,345,623,499,3,2025
34,7,EMP00007,Employee 7,1,0198668249203,employee7@example.com,2,Lecturer,Mechanical Engineering,6,5,54698,64542,2000487791599,307640719,608,200,,1147,186,325,463,348,770,659,251,442,1955,402,345,450,146,147,95,198,51,127,38,128,10,4061,297,98,262,1787,143,345,623,499,4,2025
35,7,EMP00007,Employee 7,1,0198668249203,employee7@example.com,2,Lecturer,Mechanical Engineering,6,5,54698,64542,2000487791599,307640719,608,200,,1147,186,325,463,348,770,659,251,442,1955,402,345,450,146,147,95,198,51,127,38,128,10,4061,297,98,262,1787,143,345,623,499,5,2025
36,8,EMP00008,Employee 8,1,0198499873327,employee8@example.com,2,Assistant Professor,Civil Engineering,5,4,49855,27158,2000482380040,224001512,3170,146,,815,2255,130,403,151,53,119,160,407,627,586,112,455,419,165,103,83,111,98,152,193,53,3234,207,444,1704,160,1603,800,397,276,1,2025
37,8,EMP00008,Employee 8,1,0198499873327,employee8@example.com,2,Assistant Professor,Civil Engineering,5,4,49855,27158,2000482380040,224001512,3170,146,,815,2255,130,403,151,53,119,160,407,627,586,112,455,419,165,103,83,111,98,152,193,53,3234,207,444,1704,160,1603,800,397,276,2,2025
38,8,EMP00008,Employee 8,1,0198499873327,employee8@example.com,2,Assistant Professor,Civil Engineering,5,4,49855,27158,2000482380040,224001512,3170,146,,815,2255,130,403,151,53,119,160,407,627,586,112,455,419,165,103,83,111,98,152,193,53,3234,207,444,1704,160,1603,800,397,276,3,2025
39,8,EMP00008,Employee 8,1,0198499873327,employee8@example.com,2,Assistant Professor,Civil Engineering,5,4,49855,27158,2000482380040,224001512,3170,146,,815,2255,130,403,151,53,119,160,407,627,586,112,455,419,165,103,83,111,98,152,193,53,3234,207,444,1704,160,1603,800,397,276,4,2025
40,8,EMP00008,Employee 8,1,0198499873327,employee8@example.com,2,Assistant Professor,Civil Engineering,5,4,49855,27158,2000482380040,224001512,3170,146,,815,2255,130,403,151,53,119,160,407,627,586,112,455,419,165,103,83,111,98,152,193,53,3234,207,444,1704,160,1603,800,397,276,5,2025
41,9,EMP00009,Employee 9,0,0198776942224,employee9@example.com,2,Professor,Civil Engineering,1,2,65525,39830,2000101983509,485992349,3436,50,,437,1799,282,26,225,276,797,96,283,2926,959,480,452,316,47,146,3,34,191,48,16,43,1243,157,476,1069,1396,517,98,891,232,1,2025
42,9,EMP00009,Employee 9,0,0198776942224,employee9@example.com,2,Professor,Civil Engineering,1,2,65525,39830,2000101983509,485992349,3436,50,,437,1799,282,26,225,276,797,96,283,2926,959,480,452,316,47,146,3,34,191,48,16,43,1243,157,476,1069,1396,517,98,891,232,2,2025
43,9,EMP00009,Employee 9,0,0198776942224,employee9@example.com,2,Professor,Civil Engineering,1,2,65525,39830,2000101983509,485992349,3436,50,,437,1799,282,26,225,276,797,96,283,2926,959,480,452,316,47,146,3,34,191,48,16,43,1243,157,476,1069,1396,517,98,891,232,3,2025
44,9,EMP00009,Employee 9,0,0198776942224,employee9@example.com,2,Professor,Civil Engineering,1,2,65525,39830,2000101983509,485992349,3436,50,,437,1799,282,26,225,276,797,96,283,2926,959,480,452,316,47,146,3,34,191,48,16,43,1243,157,476,1069,1396,517,98,891,232,4,2025
45,9,EMP00009,Employee 9,0,0198776942224,employee9@example.com,2,Professor,Civil Engineering,1,2,65525,39830,2000101983509,485992349,3436,50,,437,1799,282,26,225,276,797,96,283,2926,959,480,452,316,47,146,3,34,191,48,16,43,1243,157,476,1069,1396,517,98,891,232,5,2025
46,10,EMP00010,Employee 10,0,0198326623789,employee10@example.com,1,Assistant Professor,Computer Science and Engineering,3,0,78483,20190,2000339216892,680240340,2975,470,,1184,127,17,792,734,565,569,322,359,2733,791,113,287,430,85,150,193,126,154,272,103,32,4341,175,38,1500,1705,758,537,866,305,1,2025
47,10,EMP00010,Employee 10,0,0198326623789,employee10@example.com,1,Assistant Professor,Computer Science and Engineering,3,0,78483,20190,2000339216892,680240340,2975,470,,1184,127,17,792,734,565,569,322,359,2733,791,113,287,430,85,150,193,126,154,272,103,32,4341,175,38,1500,1705,758,537,866,305,2,2025
48,10,EMP00010,Employee 10,0,0198326623789,employee10@example.com,1,Assistant Professor,Computer Science and Engineering,3,0,78483,20190,2000339216892,680240340,2975,470,,1184,127,17,792,734,565,569,322,359,2733,791,113,287,430,85,150,193,126,154,272,103,32,4341,175,38,1500,1705,758,537,866,305,3,2025
49,10,EMP00010,Employee 10,0,0198326623789,employee10@example.com,1,Assistant Professor,Computer Science and Engineering,3,0,78483,20190,2000339216892,680240340,2975,470,,1184,127,17,792,734,565,569,322,359,2733,791,113,287,430,85,150,193,126,154,272,103,32,4341,175,38,1500,1705,758,537,866,305,4,2025
50,10,EMP00010,Employee 10,0,0198326623789,employee10@example.com,1,Assistant Professor,Computer Science and Engineering,3,0,78483,20190,2000339216892,680240340,2975,470,,1184,127,17,792,734,565,569,322,359,2733,791,113,287,430,85,150,193,126,154,272,103,32,4341,175,38,1500,1705,758,537,866,305,5,2025
51,11,EMP00011,Employee 11,1,0198148715257,employee11@example.com,1,Assistant Professor,Computer Science and Engineering,9,3,24780,22368,2000404688903,967441151,4495,141,,971,1906,470,142,91,353,833,287,214,1982,853,50,152,185,62,189,124,149,57,179,169,69,3854,53,490,443,612,992,263,52,59,1,2025
52,11,EMP00011,Employee 11,1,0198148715257,employee11@example.com,1,Assistant Professor,Computer Science and Engineering,9,3,24780,22368,2000404688903,967441151,4495,141,,971,1906,470,142,91,353,833,287,214,1982,853,50,152,185,62,189,124,149,57,179,169,69,3854,53,490,443,612,992,263,52,59,2,2025
53,11,EMP00011,Employee 11,1,0198148715257,employee11@example.com,1,Assistant Professor,Computer Science and Engineering,9,3,24780,22368,2000404688903,967441151,4495,141,,971,1906,470,142,91,353,833,287,214,1982,853,50,152,185,62,189,124,149,57,179,169,69,3854,53,490,443,612,992,263,52,59,3,2025
54,11,EMP00011,Employee 11,1,0198148715257,employee11@example.com,1,Assistant Professor,Computer Science and Engineering,9,3,24780,22368,2000404688903,967441151,4495,141,,971,1906,470,142,91,353,833,287,214,1982,853,50,152,185,62,189,124,149,57,179,169,69,3854,53,490,443,612,992,263,52,59,4,2025
55,11,EMP00011,Employee 11,1,0198148715257,employee11@example.com,1,Assistant Professor,Computer Science and Engineering,9,3,24780,22368,2000404688903,967441151,4495,141,,971,1906,470,142,91,353,833,287,214,1982,853,50,152,185,62,189,124,149,57,179,169,69,3854,53,490,443,612,992,263,52,59,5,2025
56,12,EMP00012,Employee 12,0,0198466564547,employee12@example.com,2,Assistant Professor,Civil Engineering,4,2,59734,27079,2000670137231,170009467,1693,146,,656,119,830,786,603,57,950,345,228,116,829,278,126,392,139,128,57,121,0,238,289,95,559,88,487,1260,1908,896,271,188,486,1,2025
57,12,EMP00012,Employee 12,0,0198466564547,employee12@example.com,2,Assistant Professor,Civil Engineering,4,2,59734,27079,2000670137231,170009467,1693,146,,656,119,830,786,603,57,950,345,228,116,829,278,126,392,139,128,57,121,0,238,289,95,559,88,487,1260,1908,896,271,188,486,2,2025
58,12,EMP00012,Employee 12,0,0198466564547,employee12@example.com,2,Assistant Professor,Civil Engineering,4,2,59734,27079,2000670137231,170009467,1693,146,,656,119,830,786,603,57,950,345,228,116,829,278,126,392,139,128,57,121,0,238,289,95,559,88,487,1260,1908,896,271,188,486,3,2025
59,12,EMP00012,Employee 12,0,0198466564547,employee12@example.com,2,Assistant Professor,Civil Engineering,4,2,59734,27079,2000670137231,170009467,1693,146,,656,119,830,786,603,57,950,345,228,116,829,278,126,392,139,128,57,121,0,238,289,95,559,88,487,1260,1908,896,271,188,486,4,2025
60,12,EMP00012,Employee 12,0,0198466564547,employee12@example.com,2,Assistant Professor,Civil Engineering,4,2,59734,27079,2000670137231,170009467,1693,146,,656,119,830,786,603,57,950,345,228,116,829,278,126,392,139,128,57,121,0,238,289,95,559,88,487,1260,1908,896,271,188,486,5,2025
61,13,EMP00013,Employee 13,0,0198579836949,employee13@example.com,1,Professor,Civil Engineering,7,2,39531,73401,2000555149199,781381298,2744,284,,1997,1243,68,46,93,749,957,499,452,1227,911,217,473,431,84,38,99,32,253,221,22,9,2849,179,222,1929,761,1682,441,607,256,1,2025
62,13,EMP00013,Employee 13,0,0198579836949,employee13@example.com,1,Professor,Civil Engineering,7,2,39531,73401,2000555149199,781381298,2744,284,,1997,1243,68,46,93,749,957,499,452,1227,911,217,473,431,84,38,99,32,253,221,22,9,2849,179,222,1929,761,1682,441,607,256,2,2025
63,13,EMP00013,Employee 13,0,0198579836949,employee13@example.com,1,Professor,Civil Engineering,7,2,39531,73401,2000555149199,781381298,2744,284,,1997,1243,68,46,93,749,957,499,452,1227,911,217,473,431,84,38,99,32,253,221,22,9,2849,179,222,1929,761,1682,441,607,256,3,2025
64,13,EMP00013,Employee 13,0,0198579836949,employee13@example.com,1,Professor,Civil Engineering,7,2,39531,73401,2000555149199,781381298,2744,284,,1997,1243,68,46,93,749,957,499,452,1227,911,217,473,431,84,38,99,32,253,221,22,9,2849,179,222,1929,761,1682,441,607,256,4,2025
65,13,EMP00013,Employee 13,0,0198579836949,employee13@example.com,1,Professor,Civil Engineering,7,2,39531,73401,2000555149199,781381298,2744,284,,1997,1243,68,46,93,749,957,499,452,1227,911,217,473,431,84,38,99,32,253,221,22,9,2849,179,222,1929,761,1682,441,607,256,5,2025
66,14,EMP00014,Employee 14,0,0198799798019,employee14@example.com,2,Assistant Professor,Civil Engineering,8,6,50977,49168,2000603365595,468403327,3546,339,,1687,1931,689,674,379,544,928,444,178,1636,267,322,64,416,167,73,42,43,284,11,94,45,3969,252,498,753,34,726,848,89,263,1,2025
67,14,EMP00014,Employee 14,0,0198799798019,employee14@example.com,2,Assistant Professor,Civil Engineering,8,6,50977,49168,2000603365595,468403327,3546,339,,1687,1931,689,674,379,544,928,444,178,1636,267,322,64,416,167,73,42,43,284,11,94,45,3969,252,498,753,34,726,848,89,263,2,2025
68,14,EMP00014,Employee 14,0,0198799798019,employee14@example.com,2,Assistant Professor,Civil Engineering,8,6,50977,49168,2000603365595,468403327,3546,339,,1687,1931,689,674,379,544,928,444,178,1636,267,322,64,416,167,73,42,43,284,11,94,45,3969,252,498,753,34,726,848,89,263,3,2025
69,14,EMP00014,Employee 14,0,0198799798019,employee14@example.com,2,Assistant Professor,Civil Engineering,8,6,50977,49168,2000603365595,468403327,3546,339,,1687,1931,689,674,379,544,928,444,178,1636,267,322,64,416,167,73,42,43,284,11,94,45,3969,252,498,753,34,726,848,89,263,4,2025
70,14,EMP00014,Employee 14,0,0198799798019,employee14@example.com,2,Assistant Professor,Civil Engineering,8,6,50977,49168,2000603365595,468403327,3546,339,,1687,1931,689,674,379,544,928,444,178,1636,267,322,64,416,167,73,42,43,284,11,94,45,3969,252,498,753,34,726,848,89,263,5,2025
71,15,EMP00015,Employee 15,1,0198199952217,employee15@example.com,2,Lecturer,Computer Science and Engineering,2,2,61576,40358,2000607514051,928457785,1516,74,,412,728,276,760,675,393,868,456,407,2239,738,176,98,495,35,95,151,150,189,223,36,11,3440,182,12,278,216,866,872,797,272,1,2025
72,15,EMP00015,Employee 15,1,0198199952217,employee15@example.com,2,Lecturer,Computer Science and Engineering,2,2,61576,40358,2000607514051,928457785,1516,74,,412,728,276,760,675,393,868,456,407,2239,738,176,98,495,35,95,151,150,189,223,36,11,3440,182,12,278,216,866,872,797,272,2,2025
73,15,EMP00015,Employee 15,1,0198199952217,employee15@example.com,2,Lecturer,Computer Science and Engineering,2,2,61576,40358,2000607514051,928457785,1516,74,,412,728,276,760,675,393,868,456,407,2239,738,176,98,495,35,95,151,150,189,223,36,11,3440,182,12,278,216,866,872,797,272,3,2025
74,15,EMP00015,Employee 15,1,0198199952217,employee15@example.com,2,Lecturer,Computer Science and Engineering,2,2,61576,40358,2000607514051,928457785,1516,74,,412,728,276,760,675,393,868,456,407,2239,738,176,98,495,35,95,151,150,189,223,36,11,3440,182,12,278,216,866,872,797,272,4,2025
75,15,EMP00015,Employee 15,1,0198199952217,employee15@example.com,2,Lecturer,Computer Science and Engineering,2,2,61576,40358,2000607514051,928457785,1516,74,,412,728,276,760,675,393,868,456,407,2239,738,176,98,495,35,95,151,150,189,223,36,11,3440,182,12,278,216,866,872,797,272,5,2025
76,16,EMP00016,Employee 16,1,0198428382319,employee16@example.com,1,Lecturer,Computer Science and Engineering,6,2,67280,33923,2000146547339,995678908,4171,264,,454,1819,717,734,383,563,850,366,143,884,68,98,395,24,179,122,52,150,143,56,38,52,2982,397,222,633,1156,1186,214,732,234,1,2025
77,16,EMP00016,Employee 16,1,0198428382319,employee16@example.com,1,Lecturer,Computer Science and Engineering,6,2,67280,33923,2000146547339,995678908,4171,264,,454,1819,717,734,383,563,850,366,143,884,68,98,395,24,179,122,52,150,143,56,38,52,2982,397,222,633,1156,1186,214,732,234,2,2025
78,16,EMP00016,Employee 16,1,0198428382319,employee16@example.com,1,Lecturer,Computer Science and Engineering,6,2,67280,33923,2000146547339,995678908,4171,264,,454,1819,717,734,383,563,850,366,143,884,68,98,395,24,179,122,52,150,143,56,38,52,2982,397,222,633,1156,1186,214,732,234,3,2025
79,16,EMP00016,Employee 16,1,0198428382319,employee16@example.com,1,Lecturer,Computer Science and Engineering,6,2,67280,33923,2000146547339,995678908,4171,264,,454,1819,717,734,383,563,850,366,143,884,68,98,395,24,179,122,52,150,143,56,38,52,2982,397,222,633,1156,1186,214,732,234,4,2025
80,16,EMP00016,Employee 16,1,0198428382319,employee16@example.com,1,Lecturer,Computer Science and Engineering,6,2,67280,33923,2000146547339,995678908,4171,264,,454,1819,717,734,383,563,850,366,143,884,68,98,395,24,179,122,52,150,143,56,38,52,2982,397,222,633,1156,1186,214,732,234,5,2025
81,17,EMP00017,Employee 17,0,0198714144587,employee17@example.com,1,Lecturer,Mechanical Engineering,10,9,55307,27056,2000534318588,480021989,1542,173,,1676,1191,169,392,945,794,633,193,4,2076,164,421,338,135,108,64,85,144,216,131,291,69,3486,274,444,875,1205,166,90,713,345,1,2025
82,17,EMP00017,Employee 17,0,0198714144587,employee17@example.com,1,Lecturer,Mechanical Engineering,10,9,55307,27056,2000534318588,480021989,1542,173,,1676,1191,169,392,945,794,633,193,4,2076,164,421,338,135,108,64,85,144,216,131,291,69,3486,274,444,875,1205,166,90,713,345,2,2025
83,17,EMP00017,Employee 17,0,0198714144587,employee17@example.com,1,Lecturer,Mechanical Engineering,10,9,55307,27056,2000534318588,480021989,1542,173,,1676,1191,169,392,945,794,633,193,4,2076,164,421,338,135,108,64,85,144,216,131,291,69,3486,274,444,875,1205,166,90,713,345,3,2025
84,17,EMP00017,Employee 17,0,0198714144587,employee17@example.com,1,Lecturer,Mechanical Engineering,10,9,55307,27056,2000534318588,480021989,1542,173,,1676,1191,169,392,945,794,633,193,4,2076,164,421,338,135,108,64,85,144,216,131,291,69,3486,274,444,875,1205,166,90,713,345,4,2025
85,17,EMP00017,Employee 17,0,0198714144587,employee17@example.com,1,Lecturer,Mechanical Engineering,10,9,55307,27056,2000534318588,480021989,1542,173,,1676,1191,169,392,945,794,633,193,4,2076,164,421,338,135,108,64,85,144,216,131,291,69,3486,274,444,875,1205,166,90,713,345,5,2025
86,18,EMP00018,Employee 18,1,0198115814828,employee18@example.com,1,Professor,Mechanical Engineering,2,9,50355,75771,2000173851335,604771388,894,360,,1958,2434,972,347,189,504,190,368,408,823,928,421,116,133,57,43,172,159,172,148,79,84,4298,251,228,1699,1250,1682,531,440,401,1,2025
87,18,EMP00018,Employee 18,1,0198115814828,employee18@example.com,1,Professor,Mechanical Engineering,2,9,50355,75771,2000173851335,604771388,894,360,,1958,2434,972,347,189,504,190,368,408,823,928,421,116,133,57,43,172,159,172,148,79,84,4298,251,228,1699,1250,1682,531,440,401,2,2025
88,18,EMP00018,Employee 18,1,0198115814828,employee18@example.com,1,Professor,Mechanical Engineering,2,9,50355,75771,2000173851335,604771388,894,360,,1958,2434,972,347,189,504,190,368,408,823,928,421,116,133,57,43,172,159,172,148,79,84,4298,251,228,1699,1250,1682,531,440,401,3,2025
89,18,EMP00018,Employee 18,1,0198115814828,employee18@example.com,1,Professor,Mechanical Engineering,2,9,50355,75771,2000173851335,604771388,894,360,,1958,2434,972,347,189,504,190,368,408,823,928,421,116,133,57,43,172,159,172,148,79,84,4298,251,228,1699,1250,1682,531,440,401,4,2025
90,18,EMP00018,Employee 18,1,0198115814828,employee18@example.com,1,Professor,Mechanical Engineering,2,9,50355,75771,2000173851335,604771388,894,360,,1958,2434,972,347,189,504,190,368,408,823,928,421,116,133,57,43,172,159,172,148,79,84,4298,251,228,1699,1250,1682,531,440,401,5,2025
91,19,EMP00019,Employee 19,0,0198940734221,employee19@example.com,1,Assistant Professor,Mechanical Engineering,1,4,64597,60821,2000676392450,749218703,470,440,,970,1035,329,735,783,967,357,459,407,667,372,7,121,347,163,89,135,185,177,27,219,40,4835,191,410,501,958,1168,200,928,211,1,2025
